filename,path,ext,size_MB,modified,preview,json_type,json_list_len,csv_cols,csv_rows_sampled,json_error
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 4.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 4.zip,.zip,0.001,2025-10-17T11:10:20.682362,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 5.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 5.zip,.zip,0.001,2025-10-17T11:10:20.581485,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 6.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip 6.zip,.zip,0.001,2025-10-17T11:10:20.286499,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-08-14-17-30-57-a3f799ccd158416fab000073e45b6081.zip.zip,.zip,0.001,2025-10-17T11:10:19.986281,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-09-29-23-10-21-52dfec6d67f64130bed7438871356587.zip 3.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-09-29-23-10-21-52dfec6d67f64130bed7438871356587.zip 3.zip,.zip,0.001,2025-10-17T11:10:21.782817,,,,,,
cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-09-29-23-10-21-52dfec6d67f64130bed7438871356587.zip.zip,cbf9a13c3296043ae749060409d485aa973ed8d92e4b554e715a579123c0a1d0-2025-09-29-23-10-21-52dfec6d67f64130bed7438871356587.zip.zip,.zip,0.001,2025-10-17T11:10:20.581274,,,,,,
conversations.zip,conversations.zip,.zip,14.708,2025-10-17T11:10:22.549308,,,,,,
conversationshh 2.zip,conversationshh 2.zip,.zip,0.303,2025-10-17T11:10:21.286696,,,,,,
conversationshh 3.zip,conversationshh 3.zip,.zip,0.303,2025-10-17T11:10:20.582337,,,,,,
conversationshh 4.zip,conversationshh 4.zip,.zip,0.303,2025-10-17T11:10:22.181151,,,,,,
conversationshh 6.zip,conversationshh 6.zip,.zip,0.303,2025-10-17T11:10:21.888342,,,,,,
conversationshh.zip,conversationshh.zip,.zip,0.303,2025-10-17T11:10:22.019698,,,,,,
